status;title;url;programme;appel;annee;etat;duree;subvention;financeurs;disciplines;path
accepted;Pourquoi quitter les Etablissements d’Hébergement pour Personnes Agées Dépendantes (EHPAD) : analyse des départs et des réorientations professionnelles des soignantes;https://iresp.net/projets_finances/pourquoi-quitter-les-etablissements-dhebergement-pour-personnes-agees-dependantes-ehpad-analyse-des-departs-et-des-reorientations-professionnelles-des-soignantes/;Autonomie;Analyse des politiques de l’autonomie, de l’offre médico-sociale et des besoins des publics;2024;En cours;24 mois;156 632,00;CNSA;Sociologie et économie;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\iresp_autonomie_database\107_2024_pourquoi_quitter_les_etablissements_d_hebergement_pour_personnes_agees_dependantes_ehpad_analyse_des_departs_et_des_reor.txt
rejected;POWER PID – L’emPOWERement des personnes handicapées mentales par l’activité physique pour gérer leurs conduites addictives;https://iresp.net/projets_finances/power-pid-lempowerement-des-personnes-handicapees-mentales-par-lactivite-physique-pour-gerer-leurs-conduites-addictives/;Addictions;Lutter contre les usages de substances psychoactives et les addictions;2021;En cours;36 mois;528 152;Fonds de Lutte Contre les Addictions;"Santé publique ; Santé communautaire ; Promotion de la santé";C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\197_2021_power_pid_l_empowerement_des_personnes_handicapees_mentales_par_l_activite_physique_pour_gerer_leurs_conduites_addictive.txt
rejected;Prédiction des complications après revascularisation des membres inférieurs grâce à l’intelligence artificielle et les données du système national des données de santé;https://iresp.net/projets_finances/prediction-des-complications-apres-revascularisation-des-membres-inferieurs-grace-a-lintelligence-artificielle-et-les-donnees-du-systeme-national-des-donnees-de-sante/;MESSIDORE;Méthodologie des essais cliniques innovants, dispositifs, outils et recherches exploitant les données de santé et biobanques;2024;En cours;48 mois;527 529,00;INSERM;public health / statistics / epidemiology / vascular medicine;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\198_2024_prediction_des_complications_apres_revascularisation_des_membres_inferieurs_grace_a_l_intelligence_artificielle_et_les_d.txt
rejected;Premiers jalons pour une évaluation réaliste des actions menées pour la prise en compte des addictions au sein du mouvement Habitat et Humanisme;https://iresp.net/projets_finances/premiers-jalons-pour-une-evaluation-realiste-des-actions-menees-pour-la-prise-en-compte-des-addictions-au-sein-du-mouvement-habitat-et-humanisme/;Addictions;Substances psychoactives et comportements avec pouvoir addictif;2023;En cours;18 mois;59 780,00;Fonds de lutte contre les addictions;Santé Publique/ Sociologie de la Santé/ Action sociale;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\199_2023_premiers_jalons_pour_une_evaluation_realiste_des_actions_menees_pour_la_prise_en_compte_des_addictions_au_sein_du_mouvem.txt
accepted;Prendre le relai : Les fratries adultes face au handicap mental;https://iresp.net/projets_finances/prendre-le-relai-les-fratries-adultes-face-au-handicap-mental/;Autonomie;Dispositif Doctoral du programme Autonomie;2024;En cours;12 mois;44 706,55;CNSA;Sociologie;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\iresp_autonomie_database\108_2024_prendre_le_relai_les_fratries_adultes_face_au_handicap_mental.txt
rejected;Prescription de nature dans une approche de promotion de la santé pour améliorer la santé et le bien-être : pour qui et comment ? Recherche action en soins primaires et psychiatrie;https://iresp.net/projets_finances/prescription-de-nature-dans-une-approche-de-promotion-de-la-sante-pour-ameliorer-la-sante-et-le-bien-etre-pour-qui-et-comment-recherche-action-en-soins-primaires-et-psychiatrie/;Services, interventions et politiques favorables à la santé;Services, interventions et politiques favorables à la santé;2022;En cours;18 mois;99 862,00 €;DGS;"santé publique/public health ; soins primaires/primary care ; psychiatrie/psychiatry; organisation des soins/health services organization";C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\200_2022_prescription_de_nature_dans_une_approche_de_promotion_de_la_sante_pour_ameliorer_la_sante_et_le_bien_etre_pour_qui_et_co.txt
rejected;Prévention de la transmission intergénérationnelle des conduites addictives : recherche interventionnelle dans le cadre du programme « Une affaire de famille ! » (PATTERN);https://iresp.net/projets_finances/prevention-de-la-transmission-intergenerationnelle-des-conduites-addictives-recherche-interventionnelle-dans-le-cadre-du-programme-une-affaire-de-famille-pattern/;Addictions;Lutte contre les addictions aux substances psychoactives;2019;Clos;12 mois;98 294;Fonds de Lutte Contre les Addictions;"Santé Publique ; Addictologie";C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\201_2019_prevention_de_la_transmission_intergenerationnelle_des_conduites_addictives_recherche_interventionnelle_dans_le_cadre_du.txt
rejected;Produits du Tabac et de l’Alcool sur les Réseaux Sociaux : Dispositif pilote d’intervention en milieu scolaire auprès d’adolescents pour prévenir l’influence de contenus tabac/alcool publiés en ligne;https://iresp.net/projets_finances/produits-du-tabac-et-de-lalcool-sur-les-reseaux-sociaux-dispositif-pilote-dintervention-en-milieu-scolaire-aupres-dadolescents-pour-prevenir-linfluence-de-contenu/;Addictions;Substances psychoactives et comportements avec pouvoir addictif;2023;En cours;24 mois;150 000,00;Fonds de lutte contre les addictions;Sciences de Gestion / Sciences de l’éducation / Marketing Social / Santé Publique / Psychologie de la Santé;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\202_2023_produits_du_tabac_et_de_l_alcool_sur_les_reseaux_sociaux_dispositif_pilote_d_intervention_en_milieu_scolaire_aupres_d_ad.txt
rejected;Profils, usages et santé des consommateurs réguliers de cannabis dans le contexte français;https://iresp.net/projets_finances/profils-usages-et-sante-des-consommateurs-reguliers-de-cannabis-dans-le-contexte-francais/;Addictions;Recherches pour lutter contre les usages de substances psychoactives et les addictions;2020;Clos;36 mois;;Fonds de Lutte Contre les Addictions;Santé Publique;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\203_2020_profils_usages_et_sante_des_consommateurs_reguliers_de_cannabis_dans_le_contexte_francais.txt
rejected;Programme de prévention indirecte de la consommation de cannabis à l’adolescence basé sur un outil de médiation de type Manga : quel impact et quelle efficacité sur les compétences émotionnelles ?;https://iresp.net/projets_finances/programme-de-prevention-indirecte-de-la-consommation-de-cannabis-a-ladolescence-base-sur-un-outil-de-mediation-de-type-manga-quel-impact-et-quelle-efficacite-sur-les-competences-emotionnell/;Addictions;Recherches pour lutter contre les usages et les addictions aux substances psychoactives;2022;En cours;36 mois;;Fonds de Lutte Contre les Addictions;"Psychologie ; Santé publique";C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\204_2022_programme_de_prevention_indirecte_de_la_consommation_de_cannabis_a_l_adolescence_base_sur_un_outil_de_mediation_de_type_.txt
rejected;Programme-Réseau Drogues, Sciences Sociales et Sociétés;https://iresp.net/projets_finances/programme-reseau-drogues-sciences-sociales-et-societes/;Addictions;Appel à renouvellement des actions structurantes pour soutenir les réseaux de recherche sur les conduites addictives (avec ou sans substances);2025;En cours;36 mois;299 988,00;Fonds de lutte contre les addictions;Sciences humaines et sociales;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\205_2025_programme_reseau_drogues_sciences_sociales_et_societes.txt
