fichier;source_site;source_url_present;original_title_present;collection_date_present;matching_method
LLM_Tagged_Database\FdF_database\Logement et précarité les jeunes en première ligne !.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Maladie d'Alzheimer un défi global.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Maladie d'Alzheimer une maison où vieillir ensemble.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Personnes âgées adolescents la force des récits partagés.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Personnes âgées et troubles cognitifs des initiatives inspirantes.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Personnes âgées, personnes isolées maintenir le lien social malgré le confinement.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Personnes âgées.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Personnes âgées_1.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Personnes âgées_2.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Personnes âgées_3.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Portes closes un documentaire pour penser l'accompagnement des personnes âgées désorientées.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Pour favoriser le maintien des personnes âgées à domicile, Lien de vie aide les aidants.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Protéger les personnes âgées sans les isoler, le double défi des Ehpad.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Se déplacer pour garder le lien.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Solitude ET handicap ou maladie chronique… la double peine une étude de l'Observatoire de la philanthropie.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Un écran ne remplacera jamais une rencontre - Marie-Laure Martin, présidente du comité Personnes âgées.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Vivre et vieillir parmi les autres.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\Vivre le grand âge cap sur l'innovation.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\À plus dans le bus ! A la rencontre des personnes âgées en milieu rural.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\FdF_database\► Un Toit parmi les âges des jeunes hébergés en Ehpad.json;Fondation de France;True;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\FCHES_ACTIONs__-_proposition_triple_actions_enchas.json;SIAGE;False;True;False;préfixe
LLM_Tagged_Database\Fiches_actions_database\Fiche-action_10_-_Reseau_dinformations.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\Fiche-action_11_-_Implication.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\Fiche-action_12_-_Informations.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\Fiche-action_13_-_Preparation_a_la_retraite.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\Fiche-action_14_-_Formation_au_numerique.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\Fiche-action_15_-_ecrivains_numeriques.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\Fiche-action_16_-_Materiel_informatique.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\Fiche-action_17_-_Projet_intergenerationnel.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\Fiche-action_18_-_Guide_annuaire_des_praticiens.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\Fiche-action_19_-_Groupe_dintervention_et_animatio.json;SIAGE;False;True;False;préfixe
LLM_Tagged_Database\Fiches_actions_database\Fiche-action_1_new.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\Fiche-action_1_Transport_Solidaire_seniors_1ere_ne.json;SIAGE;False;True;False;préfixe
LLM_Tagged_Database\Fiches_actions_database\Fiche-action_2_-_Merci.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\Fiche-action_2_Droits_Culturels_des_seniors.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\Fiche-action_3_Gude_Pratique_pour_seniors_sochalie.json;SIAGE;False;True;False;préfixe
LLM_Tagged_Database\Fiches_actions_database\Fiche-action_3_new.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\Fiche-action_4_Aines_Sochaliens_Connectes.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\fiche-action_4_new.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\Fiche-action_5_-_Club_du_Rire.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\Fiche-action_6_-_Alimentation.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\Fiche-action_7_-__Plateforme_information_senior.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\Fiche-action_8_-_Mediateurs_en_etablissement.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\Fiche-action_9_-_Transports.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\Fiche1-habitat.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\Fiche2-habitat.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\Fiche3-LienSocial.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\Fiche4-LienSocial.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\Fiche5-Mobilite.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\Fiche6-Mobilite.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\Fiche7-Tiers_lieu.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\Fiche8-Atelierbienvieillir.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\FICHE_ACTION_1_Informations_senior_brochure.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\FICHE_ACTION_2_Informations_senior__ligne_telephon.json;SIAGE;False;True;False;préfixe
LLM_Tagged_Database\Fiches_actions_database\FICHE_ACTION_3_Informations_senior_Accueil.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\FICHE_ACTION_4_Accompagnement_aux_courses.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\FICHE_ACTION_5_Livraison_de_courses_a_domicile_-_r.json;SIAGE;False;True;False;préfixe
LLM_Tagged_Database\Fiches_actions_database\FICHE_ACTION_6_Participation_citoyenne.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\FICHE_ACTION_7_Participation_sociale.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\FICHE_ACTION_Se_deplacer_librement_et_en_toute_sec.json;SIAGE;False;True;False;préfixe
LLM_Tagged_Database\Fiches_actions_database\FICHE_ACTION_soutien_des_proches_aidants.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\FICHE_ACTION_souvrir_a_lautre_par_la_culture.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\FICHE_Arlon_1.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\FICHE_Arlon_2.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\FICHE_Arlon_3.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\FICHE_Arlon_4.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\FICHE_Arlon_5.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\FicheAction1_Barlin_vf.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\FicheAction1_Ostricourt_VF.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\FicheAction2_Barlin_vf.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\FicheAction2_Ostricourt_VF.json;SIAGE;False;True;False;exacte
